,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MU,NAT,NMDA,VAChT
0,0.9666981,-1.4416016317761087,0.0046375114,0.091106445,-0.4028498739880652,0.12769909,0.11111014738331211,0.40542065955111767,1.366739773296068,0.6647275450702838,0.9147850446466937,-0.4561083111083865,-0.280806356251113,-1.4528237395201398,-0.22236653987980254,0.3160526056310369,-0.5911260969559033,0.6659695204063153,-0.2739191110122677
1,2.3483536,-1.7858728201710876,0.06366338,0.38754046,0.05489760539398127,1.5224359,-0.3744335503691327,0.7434888140635868,1.2080170818304785,1.4315601664771902,1.327152770547031,0.6283230118625417,-0.37983096238819974,0.0029046425410449383,0.5006932457474043,0.035524730011897425,-0.6223281503915367,0.2419689339598051,0.15080896677130412
2,-0.26150686,-0.7191679567637617,-0.06709938,-0.14040524,-0.06926022340313079,-0.3031483,0.5160993025892966,0.44220348495681394,0.45202071556242274,-0.06497221969055131,0.6644050455525348,0.39223791429491484,-0.2951131647737317,-1.3814885838698159,-0.5497659902794476,-0.36993741360916194,-0.00862846665043347,0.935855704766578,-0.2721053080366132
3,0.24687132,-0.6479209708505139,0.068164825,0.08360961,0.19587600120518345,0.5949597,0.219247085157948,-0.18128464366856092,1.0906373184022036,0.11650642585134895,0.7018205001409128,2.029606246431792,-0.6122073264969389,-0.4058474498740793,-0.044644788478287824,-0.7969653223828463,-0.06036938528667676,1.1626132853908846,-0.22460882075840646
4,-0.8366573,-0.3255775358058813,-0.35386708,-0.53006625,0.20577617401494755,-0.054333437,0.331499238487148,-0.405958210340192,0.7027277734190929,-0.2413296566645487,0.7909189806023205,2.9116534973674177,-0.5722486355420677,-0.60649404521727,-0.7167604472421069,-1.5114796114191755,0.07067633761968449,0.9877892733199911,-0.3465420892388249
5,-0.83954394,-1.015563797210283,-0.1486932,-0.48912227,-0.737557986190404,-0.5029725,-1.018544978071918,0.11330905866654738,-0.9091747806501903,-0.5786236835161975,-0.17751259839522646,0.9390624382665642,-0.6616622006922361,-1.4132697280479145,-1.3095523546344425,-1.506236635697585,-0.44515095536066485,-0.5022094938955719,-1.3500477313796235
6,0.71827114,-2.6558450395632893,-2.6593313,-0.9830797,-2.360396462804737,0.21821801,-0.5372675699175311,-1.1856018033597653,-0.1343482658383901,-0.3344539835825726,1.0421730688481854,-1.5657884721539383,-0.7793010998946449,-3.1466780536260055,-1.766892128606735,-1.021510482528909,-0.9044715101033057,-0.974958209522373,-0.4260435828896077
7,0.08028644,-0.3527638562272784,0.33985803,0.51989377,0.6458137492188777,-0.53147453,-0.33517602888947035,-0.1561724903085846,-0.10834150814321762,0.41146684804757105,0.16844958284904274,1.4936841164616188,-0.9247189831844574,0.08752280151342845,-0.06766763250900261,-0.47897163114606206,-0.15516251191849934,0.1578608894066744,-0.5499925912393329
8,-1.630728,-0.5514537799445609,-0.44388,-1.487501,-0.9268530881611841,-0.19726083,-0.9573713727487403,-0.5551172084561489,-0.016842455374371942,-1.2365042275170721,0.47239127411319753,2.2974901669192587,-0.9281286630087561,-1.9456181183346388,-1.5601527630827323,-2.1060791960168905,-0.9768581637113765,0.8559099165829365,-1.189125650861715
9,-0.9551152,-0.992052567716024,-0.52138716,-1.0490111,-1.5194977635766145,0.34944212,-1.0043802343639903,-1.6139720967992877,0.9160383696907635,-1.197800692299876,0.5943715953727109,1.6174850502457017,-1.2474877556829032,-2.758968110966883,-1.182852196346725,-1.7276490864699634,-1.2804501333203882,0.6674499587990477,-0.7486913926133262
